Job Title,Rating,Company Name,Location,Headquarters,Sector,min_salary,max_salary,avg_salary,job_state,same_state,company_age,python,excel,hadoop,spark,aws,tableau,big_data
Machine Learning Engineer,4.8,Klaviyo,"Boston, MA","Boston, MA",Information Technology,79,131,105, MA,1,8,1,0,0,0,0,0,0
Data Scientist,3.9,Mars,United States,"Mc Lean, VA",Manufacturing,79,131,105,United States,0,109,1,0,0,1,1,0,0
Patient Safety- Associate Data Scientist,4.0,AstraZeneca,"Gaithersburg, MD","Cambridge, United Kingdom",Biotech & Pharmaceuticals,79,131,105, MD,0,107,1,1,0,0,0,0,0
Machine Learning Engineer,4.4,NuWave Solutions,"Springfield, VA","Mc Lean, VA",Information Technology,79,131,105, VA,0,21,1,0,1,1,1,0,0
Senior Data Scientist,4.2,ManTech,"Alexandria, VA","Herndon, VA",Business Services,79,131,105, VA,0,52,1,0,1,1,0,1,1
(Sr.) Data Scientist -,3.6,Merrick Bank,Utah,"South Jordan, UT",Finance,79,131,105,Utah,0,23,1,1,0,0,1,0,0
Data Scientist,3.4,Mathematica Policy Research,"Washington, DC","Princeton, NJ",Business Services,99,132,115, DC,0,34,1,1,0,0,1,0,0
Staff Data Scientist - Analytics,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",Information Technology,99,132,115, CA,0,37,0,0,0,0,0,0,0
Data Analytics Engineer,3.5,QOMPLX,"Reston, VA","Reston, VA",Information Technology,99,132,115, VA,1,5,1,0,0,1,0,0,0
"Data Scientist, Kinship - NYC/Portland",3.9,Mars,"New York, NY","Mc Lean, VA",Manufacturing,99,132,115, NY,0,109,1,0,0,1,0,0,0
Senior Data Scientist,3.8,GutCheck,"Denver, CO","Denver, CO",Business Services,99,132,115, CO,1,11,0,0,0,0,0,0,0
Applied Technology Researcher / Data Scientist,3.5,Inter-American Development Bank,"Washington, DC","Washington, DC",Finance,99,132,115, DC,1,61,0,1,0,0,0,1,0
Data Scientist,4.9,Avlino,New Jersey,"Holmdel, NJ",Information Technology,99,132,115,New Jersey,0,7,1,0,1,1,0,0,1
Machine Learning Engineer,4.4,Stratagem Group,"Aurora, CO","Aurora, CO",Aerospace & Defense,99,132,115, CO,1,13,1,1,1,1,1,0,0
Health Data Scientist - Biomedical/Biostats,4.1,Evidation,"Santa Barbara, CA","San Mateo, CA",Information Technology,99,132,115, CA,0,8,1,0,0,0,0,0,0
Senior Data Scientist,4.0,Autodesk,"San Francisco, CA","San Rafael, CA",Information Technology,99,132,115, CA,0,38,1,0,1,1,0,0,1
Staff Data Scientist,4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",Information Technology,99,132,115, CA,0,37,0,0,0,0,0,0,0
Data Scientist,3.8,Tecolote Research,"Hill AFB, UT","Goleta, CA",Aerospace & Defense,99,132,115, UT,0,47,1,1,0,0,0,1,0
Sr Data Engineer (Sr BI Developer),3.2,Tivity Health,"Chandler, AZ","Franklin, TN",Health Care,99,132,115, AZ,0,39,0,0,1,0,0,0,1
Data Engineer,2.9,hc1,"Indianapolis, IN","Indianapolis, IN",Biotech & Pharmaceuticals,99,132,115, IN,1,9,1,0,0,0,1,0,0
Lead Data Scientist,4.1,HP Inc.,"San Diego, CA","Palo Alto, CA",Information Technology,99,132,115, CA,0,81,1,1,1,0,1,0,1
Data Scientist,3.7,SAIC,"Chantilly, VA","Reston, VA",Information Technology,99,132,115, VA,0,7,1,0,0,0,0,0,0
RFP Data Analyst,3.2,AllianceBernstein,"Nashville, TN","New York, NY",Finance,99,132,115, TN,0,53,0,1,0,1,0,0,0
Data Analyst,4.9,Big Huge Games,"Timonium, MD","Lutherville Timonium, MD",Media,99,132,115, MD,0,7,0,1,0,0,0,1,0
Data Scientist (TS/SCI),3.5,Maxar Technologies,"Herndon, VA","Westminster, CO",Aerospace & Defense,99,132,115, VA,0,-1,1,0,0,0,0,0,1
Data Engineer,5.0,Phantom AI,"Burlingame, CA","Burlingame, CA",Information Technology,99,132,115, CA,1,4,1,0,0,0,0,0,0
Data Scientist,4.0,Noblis,"Reston, VA","Reston, VA",Business Services,99,132,115, VA,1,24,1,0,1,1,1,1,0
Data Scientist,3.6,Spring Health,"New York, NY","New York, NY",Health Care,99,132,115, NY,1,4,1,1,0,0,0,0,0
Software Engineer - Data Science,4.0,ClearEdge,"Annapolis Junction, MD","Annapolis Junction, MD",Information Technology,99,132,115, MD,1,18,1,1,1,1,0,0,1
Data Analyst/Engineer,3.2,AllianceBernstein,"Nashville, TN","New York, NY",Finance,99,132,115, TN,0,53,1,1,0,0,0,0,0
NGS Scientist,5.0,Arsenal Biosciences,"South San Francisco, CA","South San Francisco, CA",Biotech & Pharmaceuticals,99,132,115, CA,1,1,0,1,0,0,0,0,0
Data Engineer,4.8,GetWellNetwork,"Bethesda, MD","Bethesda, MD",Health Care,99,132,115, MD,1,20,1,0,0,0,0,0,0
Data Scientist,4.5,TACG Solutions,"Dayton, OH","Beavercreek, OH",Business Services,99,132,115, OH,0,14,1,1,0,0,0,1,0
Senior Data Engineer,4.7,Scoop,"San Francisco, CA","San Francisco, CA",Information Technology,99,132,115, CA,1,5,1,0,0,1,0,0,0
Senior Data Scientist,4.5,Novetta,"Herndon, VA","Mc Lean, VA",Information Technology,99,132,115, VA,0,8,1,1,0,0,1,0,0
Data Engineer,4.2,IZEA,"Winter Park, FL","Winter Park, FL",Business Services,99,132,115, FL,1,14,1,1,1,1,1,0,0
Business Intelligence Analyst,3.4,Montway Inc,"Schaumburg, IL","Schaumburg, IL",Transportation & Logistics,99,132,115, IL,1,14,1,1,0,0,0,1,0
Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",Telecommunications,99,132,115, CA,0,24,1,1,0,1,1,0,0
Data Scientist,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",Information Technology,90,109,99, MO,1,4,1,0,0,1,0,0,0
Data Scientist,3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",Information Technology,90,109,99, IL,1,6,1,0,0,0,0,0,0
Data Engineer,4.2,IZEA,"Winter Park, FL","Winter Park, FL",Business Services,90,109,99, FL,1,14,1,1,1,1,1,0,0
Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,"Cupertino, CA","Sunnyvale, CA",Telecommunications,90,109,99, CA,0,24,1,1,0,1,1,0,0
Data Scientist,5.0,Notion Labs,"San Francisco, CA","San Francisco, CA",Information Technology,90,109,99, CA,1,4,0,0,0,0,0,0,0
Senior Data Engineer,4.9,Lendio,"Lehi, UT","Lehi, UT",Finance,90,109,99, UT,1,9,1,0,1,1,1,0,1
Data Engineer,4.4,Direct Agents,"Culver City, CA","New York, NY",Business Services,90,109,99, CA,0,17,1,1,0,0,0,0,0
Data Scientist,3.3,NAVEX Global,"Lake Oswego, OR","Lake Oswego, OR",Information Technology,90,109,99, OR,1,8,1,0,0,1,0,1,0
Machine Learning Engineer,3.2,Triplebyte,Remote,"San Francisco, CA",Information Technology,90,109,99,Remote,0,5,0,0,0,0,0,0,0
Machine Learning Engineer,3.2,Triplebyte,Remote,"San Francisco, CA",Information Technology,90,109,99,Remote,0,5,0,0,0,0,0,0,0
Senior Data Engineer,4.9,Lendio,"Lehi, UT","Lehi, UT",Finance,90,109,99, UT,1,9,1,0,1,1,1,0,1
Data Scientist,4.2,Upstart,"San Mateo, CA","San Mateo, CA",Finance,90,109,99, CA,1,8,1,0,0,0,0,0,0
Data Analyst,4.5,Envision LLC,"San Francisco, CA","Saint Louis, MO",Business Services,90,109,99, CA,0,26,1,0,1,1,0,1,1
Data Engineer,4.8,AppLovin,"Palo Alto, CA","Palo Alto, CA",Media,90,109,99, CA,1,8,0,1,1,1,0,0,1
Data Integration and Modeling Engineer,3.8,ISO New England,"Holyoke, MA","Holyoke, MA","Oil, Gas, Energy & Utilities",90,109,99, MA,1,23,0,1,0,0,0,0,0
Tableau Data Engineer 20-0117,3.7,Relativity,"Chicago, IL","Chicago, IL",Information Technology,90,109,99, IL,1,19,0,1,0,1,0,1,0
Senior Data Scientist,3.3,Tempo Automation,"San Francisco, CA","San Francisco, CA",Manufacturing,90,109,99, CA,1,7,1,0,1,1,1,1,1
AI Data Scientist,3.3,MITRE,"McLean, VA","Bedford, MA",Government,90,109,99, VA,0,62,1,0,0,0,0,0,0
Machine Learning Engineer,5.0,"Expedition Technology, Inc.","Herndon, VA","Dulles, VA",Aerospace & Defense,90,109,99, VA,0,7,1,1,0,0,0,0,0
Research Scientist Patient Preferences (Remote),3.8,Evidera,"Bethesda, MD","Bethesda, MD",Biotech & Pharmaceuticals,90,109,99, MD,1,7,0,1,0,0,0,0,0
Data Scientist,3.4,Plymouth Rock Assurance,"Woodbridge, NJ","Boston, MA",Insurance,90,109,99, NJ,0,38,0,1,0,0,0,0,0
Scientist - Biomarker and Flow Cytometry,2.4,Crown Bioscience,"San Diego, CA","San Diego, CA",Biotech & Pharmaceuticals,90,109,99, CA,1,14,0,0,0,0,0,0,0
Data Scientist,2.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",Biotech & Pharmaceuticals,90,109,99, MA,1,20,0,0,0,0,1,0,1
Analytics Manager,4.4,OneMagnify,"Dearborn, MI","Detroit, MI",Business Services,90,109,99, MI,0,53,0,1,0,0,0,1,0
